央视频道,#genre#
四川7HD,http://192.168.1.1:8888/udp/239.11.0.8:5140
峨眉电影HD,http://192.168.1.1:8888/udp/239.11.0.11:5140
泸州新闻综合台,http://192.168.1.1:8888/udp/239.10.0.46:5140
泸州科技生活,http://192.168.1.1:8888/udp/239.10.0.48:5140
ABTV1标清,http://192.168.1.1:8888/udp/239.10.0.50:5140
ABTV2标清,http://192.168.1.1:8888/udp/239.10.0.51:5140
巴中综合HD,http://192.168.1.1:8888/udp/239.10.0.52:5140
巴中文旅HD,http://192.168.1.1:8888/udp/239.10.0.53:5140
达州新闻综合HD,http://192.168.1.1:8888/udp/239.10.0.54:5140
达州文化生活HD,http://192.168.1.1:8888/udp/239.10.0.55:5140
德阳新闻综合HD,http://192.168.1.1:8888/udp/239.10.0.56:5140
德阳文旅科教HD,http://192.168.1.1:8888/udp/239.10.0.57:5140
广安新闻综合HD,http://192.168.1.1:8888/udp/239.10.0.58:5140
广安文旅乡村HD,http://192.168.1.1:8888/udp/239.10.0.59:5140
广元综合HD,http://192.168.1.1:8888/udp/239.10.0.60:5140
广元文化生活HD,http://192.168.1.1:8888/udp/239.10.0.61:5140
乐山新闻综合HD,http://192.168.1.1:8888/udp/239.10.0.62:5140
乐山文旅生活,http://192.168.1.1:8888/udp/239.10.0.63:5140
凉山新闻综合HD,http://192.168.1.1:8888/udp/239.10.0.64:5140
凉山彝语综合HD,http://192.168.1.1:8888/udp/239.10.0.65:5140
眉山综合HD,http://192.168.1.1:8888/udp/239.10.0.66:5140
眉山文化乡村HD,http://192.168.1.1:8888/udp/239.10.0.67:5140
南充综合HD,http://192.168.1.1:8888/udp/239.10.0.68:5140
南充科教HD,http://192.168.1.1:8888/udp/239.10.0.70:5140
内江综合HD,http://192.168.1.1:8888/udp/239.10.0.71:5140
内江科教生活,http://192.168.1.1:8888/udp/239.10.0.73:5140
攀枝花新闻综合,http://192.168.1.1:8888/udp/239.10.0.74:5140
攀枝花文旅生活,http://192.168.1.1:8888/udp/239.10.0.75:5140
遂宁综合HD,http://192.168.1.1:8888/udp/239.10.0.76:5140
遂宁文化生活HD,http://192.168.1.1:8888/udp/239.10.0.77:5140
雅安新闻综合,http://192.168.1.1:8888/udp/239.10.0.78:5140
雅安文化生活,http://192.168.1.1:8888/udp/239.10.0.79:5140
宜宾新闻综合,http://192.168.1.1:8888/udp/239.10.0.80:5140
宜宾公共台,http://192.168.1.1:8888/udp/239.10.0.81:5140
资阳新闻综合HD,http://192.168.1.1:8888/udp/239.10.0.82:5140
自贡综合HD,http://192.168.1.1:8888/udp/239.10.0.83:5140
自贡文化生活HD,http://192.168.1.1:8888/udp/239.10.0.84:5140
绵阳新闻综合HD,http://192.168.1.1:8888/udp/239.10.0.96:5140
绵阳科教生活HD,http://192.168.1.1:8888/udp/239.10.0.98:5140
